Time,Velocity
Seconds,Knots
74.6,28.82999992
74.65,28.92000008
74.7,29.17000008
74.75,29.34999847
74.8,29.22999954
74.85,29.53999901
74.9,29.86999893
74.95,29.81999969
75,29.8599987
75.05,30.36999893
75.1,30.28999901
75.15,30.38999939
75.2,30.78999901
75.25,30.72999954
75.3,31.03999901
75.35,31.25
75.4,31.30999947
75.45,31.76000023
75.5,31.76000023
75.55,31.78999901
75.6,31.96999931
75.65,31.98999977
75.7,32.30999756
75.75,32.36999893
75.8,32.36999893
75.85,32.89999771
75.9,32.89999771
75.95,32.71999741
76,33.18999863
76.05,33.09999847
76.1,33.25
76.15,33.61000061
76.2,33.57999802
76.25,33.81999969
76.3,33.96999741
76.35,34.05999756
76.4,34.11999893
76.45,34.14999771
76.5,34.59999847
76.55,34.5
76.6,34.70000076
76.65,35.16999817
76.7,35.16999817
76.75,35.15999985
76.8,35.38000107
76.85,35.50999832
76.9,35.63999939
76.95,35.75999832
77,35.75999832
77.05,36.07999802
77.1,36.04999924
77.15,36.52000046
77.2,36.43000031
77.25,36.54000092
77.3,36.86000061
77.35,36.84999847
77.4,36.88000107
77.45,37.09000015
77.5,37.04000092
77.55,33.73999786
77.6,33.73999786
77.65,32.79999924
77.7,30.87999916
77.75,29.03999901
77.8,29.03999901
77.85,27.06999969
77.9,26.75
77.95,23.06999969
78,23.06999969
78.05,22.93999863
78.1,22.47999954
78.15,22.09000015
78.2,22.04999924
78.25,21.15999985
78.3,20.80999947
78.35,20.38999939
78.4,19.92000008
78.45,19.28999901
78.5,19.59000015
78.55,18.69000053
78.6,18.36999893
78.65,19.20999908
78.7,19.20999908
78.75,18.59000015
78.8,18.09000015
78.85,18.20999908
78.9,18.36999893
78.95,17.82999992
79,17.54999924
79.05,17.69999886
79.1,16.82999992
79.15,15.8399992
79.2,15.8399992
79.25,15.73999977
79.3,15.73999977
79.35,15.52999973
79.4,15.8399992
79.45,15.27999973
79.5,15.67000008
79.55,15.14999962
79.6,14.42999935
79.65,14.42000008
79.7,14.42999935
79.75,13.57999992
79.8,13.57999992
79.85,12.84999943
79.9,12.84999943
79.95,11.42999935
80,10.10999966
80.05,9.96000004
80.1,9.80999947
80.15,9.88000011
80.2,9.63000011
80.25,9.84000015
80.3,9.84000015
80.35,9.57999992
80.4,8.97000027
80.45,8.38999939
80.5,8.38999939
80.55,7.57999992
80.6,7.55999994
80.65,7.5
80.7,7.14999962
80.75,7.10999966
80.8,6.40999985
80.85,6.71000004
80.9,6.13999987
80.95,6.42000008
81,6.44000006
81.05,6.03999996
81.1,5.36999989
81.15,4.94999981
81.2,5.26999998
81.25,4.31999969
81.3,4.5
81.35,4.69999981
81.4,4.38000011
81.45,4.38000011
81.5,3.88999987
81.55,3.86999989
81.6,3.14999986
81.65,3.14999986
81.7,2.77999997
81.75,2.91999984
81.8,1.80999994
81.85,2.04999995
81.9,1.37
81.95,1.42999995
82,1.53999996
82.05,1.07999992
82.1,0.22
82.15,0.19999999
82.2,0.31999999
82.25,0.51999998
82.3,0.34
82.35,0.34
82.4,0.75999999
82.45,0.34
82.5,0.37
82.55,0.11
82.6,0.20999999
82.65,0.20999999
82.7,0.44
82.75,0.34999999
82.8,0.09
82.85,0.09
82.9,0.11
82.95,0.09999999
83,0.13
83.05,0.13
83.1,0.28
83.15,0.31
83.2,0.19999999
83.25,0.16
83.3,0.51999998
83.35,0.26999998
83.4,0.26999998
83.45,0.05
83.5,0.17999999
83.55,0.20999999
83.6,0.14
83.65,0.09
83.7,0.06
83.75,0.14
83.8,0.26999998
83.85,0.26999998
83.9,0.01
83.95,0.01
84,0.17
84.05,0.06
84.1,0.11
84.15,0.28999999
84.2,0.28999999
84.25,0.06
84.3,0.19
84.35,0.17
84.4,0.11
84.45,0.09
84.5,0.17
84.55,0.09
84.6,0.12
84.65,0.31999999
84.7,0.06
84.75,0.02
84.8,0.02
84.85,0.04
84.9,0.08
84.95,0.08
85,0.07
85.05,0.05
85.1,0.09
85.15,0.09
85.2,0.14
85.25,0.19999999
85.3,0.19999999
85.35,0.09
85.4,0.09
85.45,0.16
85.5,0.09999999
85.55,0.09999999
85.6,0.17
85.65,0.17
85.7,0.17999999
85.75,0.17999999
85.8,0.17
85.85,0.07
85.9,0.07
85.95,0.19
86,0.19
86.05,0.13
86.1,0.02
86.15,0.11
86.2,0.13
86.25,0.13
86.3,0.04
86.35,0.04
86.4,0.17999999
86.45,0.17999999
86.5,0.06
86.55,0.13
86.6,0.04
